timestamp,type,epoch,step,loss,perplexity,tokens,batches,tokens_per_second,learning_rate,gradient_norm
1784786485.6788402,train,1,244,4.53614616394043,,25,,2376.040088211893,0.00019746091441750712,2.5106801986694336
1784786485.727943,train,1,245,2.8485629558563232,,119,,11111.154686146876,0.0001974256965585441,1.4262895584106445
1784786485.777504,train,1,246,4.7669267654418945,,125,,11984.180496213403,0.00019739023968106504,1.7753812074661255
1784786485.827182,train,1,247,3.5872280597686768,,98,,9611.37672710718,0.0001973545438820077,1.0663496255874634
1784786485.877154,train,1,248,3.168344497680664,,193,,18347.026110914936,0.000197318609258963,1.5565381050109863
1784786485.927146,train,1,249,3.4589293003082275,,164,,15096.423804918402,0.00019728243591017483,1.7864233255386353
1784786485.977128,train,1,250,5.462643146514893,,48,,4280.904385740486,0.00019724602393453975,2.7492752075195312
1784786486.0294762,train,1,251,3.0088024139404297,,23,,1821.0789898070152,0.0001972093734316067,3.3121488094329834
1784786486.080214,train,1,252,4.443991661071777,,73,,5889.927265377114,0.00019717248450157681,2.249577045440674
1784786486.130722,train,1,253,5.260151386260986,,28,,2264.5171122197876,0.00019713535724530295,3.865786075592041
1784786486.1809862,train,1,254,5.004973411560059,,53,,4543.441168508426,0.00019709799176428962,3.0472850799560547
1784786486.231188,train,1,255,2.8650991916656494,,14,,1200.2228991178724,0.00019706038816069265,4.524770736694336
1784786486.2922711,train,1,256,3.5944316387176514,,33,,2819.1574558879383,0.00019702254653731883,3.661449432373047
1784786486.342952,train,1,257,2.388209342956543,,30,,2586.950421467419,0.00019698446699762577,5.582248210906982
1784786486.3928268,train,1,258,3.183972120285034,,66,,6268.3021337945165,0.0001969461496457214,1.6139726638793945
1784786486.442888,train,1,259,2.1512398719787598,,14,,1283.7167039961055,0.0001969075945863639,5.098812103271484
1784786486.492906,train,1,260,4.175944805145264,,26,,2343.6708457605873,0.0001968688019249614,2.4241154193878174
1784786486.543951,train,1,261,4.419943332672119,,27,,2243.0605312253565,0.0001968297717675715,3.7524993419647217
1784786486.594385,train,1,262,2.864393711090088,,20,,1608.622214618454,0.00019679050422090116,4.139419078826904
1784786486.644228,train,1,263,4.891364574432373,,203,,18814.58825058215,0.00019675099939230636,1.292680263519287
1784786486.693983,train,1,264,4.535579681396484,,16,,1491.3374269396163,0.00019671125738979185,4.860205173492432
1784786486.7438562,train,1,265,2.6219096183776855,,61,,5597.614133404955,0.00019667127832201066,3.829237461090088
1784786486.79365,train,1,266,3.7377822399139404,,79,,6896.978007211558,0.00019663106229826408,1.0050196647644043
1784786486.843717,train,1,267,3.9158260822296143,,43,,3833.808844860886,0.0001965906094285012,2.8395164012908936
1784786486.893636,train,1,268,4.1597442626953125,,57,,5007.540299892193,0.00019654991982331855,2.252574920654297
1784786486.943646,train,1,269,3.201428174972534,,144,,12301.865221369491,0.00019650899359396003,1.6872657537460327
1784786486.9937239,train,1,270,3.531435489654541,,76,,6495.91138117957,0.00019646783085231634,2.5577616691589355
1784786487.044579,train,1,271,5.763724327087402,,29,,2209.4817242291256,0.00019642643171092488,4.345844745635986
1784786487.095032,train,1,272,5.965250015258789,,38,,3112.6915572329017,0.0001963847962829693,2.306133985519409
1784786487.145345,train,1,273,1.8673635721206665,,8,,681.138475266839,0.00019634292468227927,5.977060794830322
1784786487.195694,train,1,274,3.7430505752563477,,143,,12250.842071815836,0.0001963008170233302,2.227222204208374
1784786487.245909,train,1,275,4.580367565155029,,74,,6218.901290310346,0.00019625847342124276,1.9542572498321533
1784786487.296478,train,1,276,2.844353437423706,,19,,1594.2773841358608,0.00019621589399178272,5.037125110626221
1784786487.346825,train,1,277,2.2071568965911865,,79,,6663.269241987118,0.0001961730788513607,1.8713306188583374
1784786487.397344,train,1,278,5.047201156616211,,44,,3656.383089988005,0.00019613002811703158,2.616640329360962
1784786487.447787,train,1,279,4.143467426300049,,9,,750.0416274563003,0.00019608674190649448,7.761188983917236
1784786487.4983099,train,1,280,4.695117473602295,,18,,1505.2947487250576,0.0001960432203380922,5.055262565612793
1784786487.548804,train,1,281,3.5260543823242188,,40,,3173.8683991991065,0.00019599946353081107,1.9301936626434326
1784786487.598791,train,1,282,5.065845489501953,,27,,2187.489392039606,0.00019595547160428055,2.9018731117248535
1784786487.6484108,train,1,283,3.1239612102508545,,14,,1383.6384750009627,0.00019591124467877285,6.4467339515686035
1784786487.698266,train,1,284,3.007852792739868,,124,,12252.913579909638,0.00019586678287520268,1.8942385911941528
1784786487.748259,train,1,285,3.9679980278015137,,92,,8606.912305384,0.00019582208631512699,2.704425573348999
1784786487.7982771,train,1,286,2.343442440032959,,47,,4319.488882168037,0.0001957771551207444,2.6559605598449707
1784786487.848187,train,1,287,5.602056503295898,,55,,4907.5922664949985,0.00019573198941489513,1.9402825832366943
1784786487.89838,train,1,288,4.998802185058594,,80,,6902.030510052049,0.0001956865893210604,2.0242979526519775
1784786487.948808,train,1,289,3.0118308067321777,,52,,4472.300761913169,0.00019564095496336245,1.5556408166885376
1784786487.999367,train,1,290,3.4916863441467285,,57,,4765.271900470505,0.00019559508646656385,3.0708038806915283
